%time,field.header.seq,field.header.stamp,field.time_stamp,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm
1.52847308183423E+018,4262,1.52847308183391E+018,46532,62890,61272,14,-15
1.52847308185635E+018,4263,1.52847308185602E+018,46552,62896,61266,14,-14
1.52847308191631E+018,4264,1.52847308191596E+018,46612,62911,61248,14,-14
1.52847308197627E+018,4265,1.52847308197594E+018,46672,62928,61233,13,-16
1.52847308203634E+018,4266,1.52847308203596E+018,46732,62941,61216,15,-15
1.52847308209426E+018,4267,1.5284730820939E+018,46792,62955,61202,14,-16
1.5284730821164E+018,4268,1.52847308211599E+018,46812,62959,61196,15,-15
1.52847308217511E+018,4269,1.52847308217483E+018,46872,62972,61181,15,-16
1.52847308219612E+018,4270,1.52847308219582E+018,46892,62976,61175,15,-15
1.52847308225623E+018,4271,1.52847308225585E+018,46952,62983,61168,-3,3
1.52847308231522E+018,4272,1.52847308231485E+018,47012,62983,61169,0,0
1.52847308237345E+018,4273,1.52847308237296E+018,47072,62983,61169,0,0
1.52847308239502E+018,4274,1.5284730823947E+018,47092,62983,61169,0,0
1.52847308245502E+018,4275,1.52847308245474E+018,47152,62983,61169,0,0
1.52847308251515E+018,4276,1.52847308251474E+018,47212,62983,61169,0,0
1.52847308257511E+018,4277,1.52847308257471E+018,47272,62983,61169,0,0
1.52847308263525E+018,4278,1.52847308263482E+018,47332,62983,61169,0,0
1.52847308269496E+018,4279,1.52847308269457E+018,47392,62983,61169,0,0
1.52847308275498E+018,4280,1.52847308275461E+018,47452,62983,61169,0,0
1.52847308281392E+018,4281,1.52847308281357E+018,47512,62983,61169,0,0
1.52847308283492E+018,4282,1.52847308283451E+018,47532,62983,61169,0,0
1.52847308289492E+018,4283,1.52847308289466E+018,47592,62983,61169,0,0
1.52847308295495E+018,4284,1.52847308295461E+018,47652,62983,61169,0,0
1.52847308301398E+018,4285,1.52847308301358E+018,47712,62983,61169,0,0
1.52847308307392E+018,4286,1.52847308307363E+018,47772,62983,61169,0,0
1.52847308313193E+018,4287,1.52847308313157E+018,47832,62983,61169,0,0
1.52847308315379E+018,4288,1.52847308315344E+018,47852,62983,61169,0,0
1.52847308321403E+018,4289,1.52847308321363E+018,47912,62983,61169,0,0
1.5284730832739E+018,4290,1.52847308327354E+018,47972,62983,61169,0,0
1.52847308333404E+018,4291,1.52847308333368E+018,48032,62983,61169,0,0
1.52847308339381E+018,4292,1.52847308339334E+018,48092,62983,61169,0,0
1.52847308345278E+018,4293,1.52847308345238E+018,48152,62983,61169,0,0
1.52847308347386E+018,4294,1.5284730834735E+018,48172,62983,61169,0,0
1.52847308353272E+018,4295,1.52847308353233E+018,48232,62983,61169,0,0
1.52847308359088E+018,4296,1.52847308359044E+018,48292,62983,61169,0,0
1.52847308361377E+018,4297,1.52847308361339E+018,48312,62983,61169,0,0
1.52847308367258E+018,4298,1.5284730836723E+018,48372,62983,61169,0,0
1.52847308373292E+018,4299,1.52847308373235E+018,48432,62983,61169,0,0
1.5284730837905E+018,4300,1.52847308379017E+018,48492,62983,61169,0,0
